City,Country,Humidity,Longitude,latitude,Date,Max Temp,Wind Speed,cloudiness
Castro,BR,66,-50.0119,-24.7911,1661672619,57.58,3.06,70
Laguna,US,73,-121.4238,38.421,1661672619,71.78,8.05,0
Cherskiy,RU,49,161.3,68.75,1661672620,60.64,11.16,94
Pevek,RU,87,170.3133,69.7008,1661672620,37.17,6.89,11
São João da Barra,BR,90,-41.0511,-21.6403,1661672621,69.64,14.83,2
Kaitangata,NZ,88,169.8464,-46.2817,1661672621,43.57,3.53,8
Hermanus,ZA,68,19.2345,-34.4187,1661672622,56.12,5.95,3
Yatou,CN,70,122.3833,37.15,1661672622,70.05,4.25,98
Lüderitz,NA,61,15.1594,-26.6481,1661672622,57.99,15.77,0
Rikitea,PF,74,-134.9692,-23.1203,1661672623,71.17,27.65,100
Upernavik,GL,84,-56.1549,72.7868,1661672623,35.42,7.49,83
Hilo,US,85,-155.09,19.7297,1661672565,79.29,4.61,20
Cape Town,ZA,73,18.4232,-33.9258,1661672550,61.38,3.0,40
Cidreira,BR,86,-50.2056,-30.1811,1661672624,54.72,20.67,100
Maningrida,AU,68,134.2667,-12.0667,1661672624,82.04,13.31,6
Rocha,UY,55,-54.3333,-34.4833,1661672625,43.2,12.17,8
Saskylakh,RU,68,114.0833,71.9167,1661672625,43.39,10.54,100
Warmbad,NA,27,18.7333,-28.45,1661672625,63.82,8.21,0
Port Hedland,AU,41,118.5667,-20.3167,1661672626,80.65,16.11,0
Saint-Augustin,CA,75,-58.6502,51.226,1661672626,51.24,6.73,90
Fare,PF,76,-151.0167,-16.7,1661672626,76.78,8.25,1
Atuona,PF,70,-139.0333,-9.8,1661672627,77.32,22.91,29
Labuhan,ID,61,112.2051,-6.8844,1661672627,85.26,6.6,100
Dolinsk,RU,68,142.8,47.35,1661672627,68.05,9.42,68
Busselton,AU,65,115.3333,-33.65,1661672628,54.59,9.91,100
Camacha,PT,68,-16.3333,33.0833,1661672628,65.62,17.27,75
Grootfontein,NA,24,18.1167,-19.5667,1661672629,69.37,3.44,0
Faanui,PF,75,-151.75,-16.4833,1661672629,77.16,7.49,34
Tuktoyaktuk,CA,85,-133.0374,69.4541,1661672629,43.77,13.04,36
Bluff,NZ,73,168.3333,-46.6,1661672630,46.8,12.44,39
Albany,US,87,-73.9662,42.6001,1661672587,62.31,2.73,0
Port Elizabeth,ZA,62,25.5701,-33.918,1661672630,63.32,0.0,0
Viedma,AR,54,-62.9967,-40.8135,1661672631,35.49,8.68,0
Qaanaaq,GL,72,-69.3632,77.484,1661672631,27.41,6.2,69
Kahului,US,78,-156.47,20.8947,1661672380,78.84,10.36,20
East London,ZA,59,27.9116,-33.0153,1661672632,65.34,8.05,0
Aksu,CN,32,80.2644,41.1231,1661672632,79.07,4.05,73
Kathu,TH,99,98.3332,7.9178,1661672632,85.82,8.7,56
Vaini,TO,100,-175.2,-21.2,1661672633,69.96,3.44,20
Arraial do Cabo,BR,92,-42.0278,-22.9661,1661672633,68.94,18.5,11
Ürümqi,CN,20,87.6005,43.801,1661672402,81.55,6.71,0
Banyo,CM,95,11.8167,6.75,1661672634,65.07,2.08,100
Mādhogarh,IN,40,79.1869,26.276,1661672634,96.8,6.11,82
Waingapu,ID,63,120.2641,-9.6567,1661672635,83.61,11.9,52
Igurubi,TZ,36,33.7,-4.0,1661672635,78.62,5.82,10
Butaritari,KI,76,172.7902,3.0707,1661672636,82.58,16.33,45
Nishihara,JP,73,127.7558,26.1842,1661672636,88.88,9.22,75
Saint Anthony,US,93,-93.218,45.0205,1661672637,68.25,14.97,100
Geraldton,AU,67,114.6,-28.7667,1661672637,63.01,12.66,6
Ko Samui,TH,62,99.9357,9.5357,1661672637,91.31,8.05,20
Bethel,US,81,-73.414,41.3712,1661672638,72.75,0.0,100
Praia da Vitória,PT,88,-27.0667,38.7333,1661672638,71.85,17.49,75
Dunedin,NZ,80,170.5036,-45.8742,1661672638,50.81,4.0,53
Yellowknife,CA,88,-114.3525,62.456,1661672639,57.72,3.44,100
Tateyama,JP,86,139.8667,34.9833,1661672639,76.1,19.55,100
Stokmarknes,NO,93,14.9108,68.5646,1661672640,49.98,19.57,75
Barrow,US,93,-156.7887,71.2906,1661672640,37.42,11.5,100
Carnarvon,AU,51,113.6333,-24.8667,1661672640,67.03,19.35,0
Punta Arenas,CL,75,-70.9167,-53.15,1661672434,41.11,10.36,0
Port Lincoln,AU,57,135.8667,-34.7333,1661672380,63.46,8.43,99
Norman Wells,CA,87,-126.8329,65.282,1661672641,53.64,3.44,75
Katsuura,JP,89,140.3,35.1333,1661672641,71.44,22.95,100
Bredasdorp,ZA,67,20.0403,-34.5322,1661672642,54.72,5.75,0
Sambava,MG,65,50.1667,-14.2667,1661672642,75.94,15.52,0
Mar del Plata,AR,62,-57.5575,-38.0023,1661672597,43.95,13.0,40
Leningradskiy,RU,93,178.4167,69.3833,1661672643,36.1,3.4,98
Okhotsk,RU,88,143.3,59.3833,1661672643,55.36,9.71,100
Antigonish,CA,93,-61.9986,45.6169,1661672643,58.82,3.04,18
São Filipe,CV,76,-24.4956,14.8961,1661672644,76.78,14.9,67
Damietta,EG,63,31.8133,31.4165,1661672644,80.49,11.01,0
Kamenka,RU,15,42.7678,51.3223,1661672645,89.44,16.96,100
Port Alfred,ZA,73,26.891,-33.5906,1661672645,61.18,1.99,0
Byron Bay,AU,80,153.6167,-28.65,1661672645,62.94,6.49,3
Cairns,AU,94,145.7667,-16.9167,1661672559,78.06,14.97,100
Rio Grande,BR,62,-52.0986,-32.035,1661672646,48.94,21.7,69
Ekibastuz,KZ,34,75.3667,51.6667,1661672646,67.5,7.72,8
Bonavista,CA,77,-53.1147,48.6499,1661672647,57.63,16.89,100
Hithadhoo,MV,77,73.0833,-0.6,1661672647,81.34,14.65,66
Petropavlovka,RU,78,105.3196,50.6114,1661672647,57.87,4.0,100
Lazurne,UA,55,32.5295,46.084,1661672648,79.5,7.38,3
Kapaa,US,81,-159.319,22.0752,1661672648,79.12,14.97,20
Verkhnyaya Inta,RU,67,60.3094,65.9811,1661672649,63.07,17.94,59
Pisco,PE,77,-76.2167,-13.7,1661672649,59.05,3.44,40
Kavieng,PG,79,150.7967,-2.5744,1661672649,81.86,13.67,99
Kruisfontein,ZA,57,24.7314,-34.0033,1661672650,55.89,4.56,0
Sinop Province,TR,58,34.8709,41.7711,1661672650,75.63,6.55,3
Cockburn Town,TC,76,-71.1419,21.4612,1661672651,83.1,21.07,72
Cabedelo,BR,85,-34.8339,-6.9811,1661672651,70.47,11.27,2
Itarema,BR,77,-39.9167,-2.9248,1661672651,76.24,16.84,27
Samokov,BG,37,23.55,42.3333,1661672652,66.7,3.2,0
Tirlyanskiy,RU,35,58.5806,54.2109,1661672652,79.14,2.91,1
Les Cayes,HT,82,-73.75,18.2,1661672653,79.29,6.51,20
Esperance,AU,59,121.9,-33.8667,1661672653,49.84,20.22,90
Jamestown,US,88,-79.2353,42.097,1661672391,65.71,4.61,0
Ucluelet,CA,89,-125.5528,48.9329,1661672654,57.09,2.84,76
Hobart,AU,77,147.3294,-42.8794,1661672654,57.06,6.91,20
Kabalo,CD,50,26.9167,-6.05,1661672655,86.04,4.36,52
Ilulissat,GL,80,-51.1,69.2167,1661672655,35.62,0.0,93
Aliaga,PH,75,120.8667,15.5167,1661672655,92.7,3.89,100
Lebu,CL,76,-73.65,-37.6167,1661672656,41.88,12.19,0
Sète,FR,51,3.6966,43.4018,1661672394,77.88,2.64,0
Garden City,US,91,-83.331,42.3256,1661672656,66.02,3.44,20
Thompson,CA,94,-97.8558,55.7435,1661672657,60.96,2.3,40
Mataura,NZ,95,168.8643,-46.1927,1661672657,46.47,3.18,6
Hobyo,SO,60,48.5268,5.3505,1661672658,82.72,19.62,4
Anadyr,RU,81,177.4833,64.75,1661672658,54.1,6.71,0
Havre-St-Pierre,CA,93,-63.5986,50.2334,1661672659,55.4,5.75,0
Ushuaia,AR,75,-68.3,-54.8,1661672457,40.66,29.93,20
Kibala,TD,88,18.3463,9.1104,1661672659,75.15,4.61,40
Panjāb,AF,18,67.0233,34.388,1661672660,66.04,4.74,0
Charlestown,AU,84,151.6667,-32.95,1661672660,65.1,5.01,3
Paamiut,GL,63,-49.6678,61.994,1661672661,42.22,7.45,44
Port Pirie,AU,39,138.0167,-33.1833,1661672661,77.09,11.16,3
Ust-Tsilma,RU,69,52.1498,65.441,1661672661,68.34,8.61,64
Provideniya,RU,90,-173.3,64.3833,1661672662,46.24,4.14,90
Lompoc,US,97,-120.4579,34.6391,1661672662,58.01,1.99,100
Solnechnyy,RU,93,136.6319,50.7214,1661672663,50.76,6.13,100
Harper,LR,86,-7.7169,4.375,1661672663,76.23,12.75,100
Odesa,UA,37,30.7326,46.4775,1661672386,82.58,1.28,0
Beira,MZ,69,34.8389,-19.8436,1661672485,78.89,12.66,20
Kuching,MY,94,110.3333,1.55,1661672664,77.22,2.3,40
Westport,US,85,-73.3579,41.1415,1661672664,74.08,11.5,100
Egvekinot,RU,72,-179.1667,66.3167,1661672665,44.55,1.61,100
Clyde River,CA,100,-68.5914,70.4692,1661672665,35.83,13.8,100
Lukoyanov,RU,31,44.4786,55.0277,1661672665,84.06,8.93,100
Ribeira Grande,PT,78,-28.7,38.5167,1661672666,72.0,3.44,75
Vila Velha,BR,94,-40.2925,-20.3297,1661672666,67.95,3.44,20
Cam Ranh,VN,78,109.1591,11.9214,1661672667,82.36,5.75,75
Avilés,ES,92,-5.9248,43.5547,1661672667,70.93,2.3,20
San Fernando del Valle de Catamarca,AR,37,-65.7852,-28.4696,1661672668,59.58,4.14,95
Lázaro Cárdenas,MX,89,-102.2,17.9583,1661672668,76.6,3.96,64
Bilibino,RU,58,166.4372,68.0546,1661672668,53.65,3.74,88
Bambous Virieux,MU,78,57.7575,-20.3428,1661672669,76.21,14.97,75
Batagay,RU,46,134.6333,67.6333,1661672669,61.66,5.68,100
Yumen,CN,23,97.2,40.2833,1661672670,76.05,6.8,99
Puerto Ayora,EC,89,-90.3518,-0.7393,1661672670,67.55,7.0,72
Yeppoon,AU,73,150.7333,-23.1333,1661672671,69.58,16.33,95
Pilot Butte,CA,81,-104.4178,50.4668,1661672671,60.66,9.22,20
Alakurtti,RU,51,30.3491,66.9672,1661672672,61.03,9.42,98
George Town,MY,78,100.3354,5.4112,1661672672,86.9,14.0,20
Neiafu,TO,76,-173.9833,-18.65,1661672672,76.44,11.86,88
Aklavik,CA,88,-135.0107,68.2191,1661672673,46.38,15.37,67
Tasiilaq,GL,98,-37.6368,65.6145,1661672673,42.96,4.85,100
Vardø,NO,72,31.1107,70.3705,1661672674,57.18,11.5,20
Coquimbo,CL,100,-71.3436,-29.9533,1661672674,49.73,3.44,0
Avarua,CK,94,-159.775,-21.2078,1661672674,71.65,3.44,1
Porto-Novo,BJ,77,2.6036,6.4965,1661672675,76.82,6.62,99
Pacific Grove,US,90,-121.9166,36.6177,1661672675,59.67,5.75,100
Alekseyevka,RU,18,38.6903,50.6309,1661672676,85.33,19.13,100
Avera,US,88,-82.5271,33.194,1661672676,71.65,4.25,100
Coyhaique,CL,80,-72.0662,-45.5752,1661672677,35.55,4.61,0
Sinnamary,GF,88,-52.95,5.3833,1661672677,75.94,7.02,76
Gouré,NE,63,10.2704,13.9835,1661672677,79.79,4.54,100
Bahía de Caráquez,EC,88,-80.4167,-0.6,1661672678,71.78,6.42,90
Chokurdakh,RU,53,147.9167,70.6333,1661672678,59.27,6.82,100
Hofn,IS,59,-15.2082,64.2539,1661672678,48.13,3.18,100
Lima,PE,87,-77.0282,-12.0432,1661672503,58.89,9.22,100
Zharkent,KZ,13,80.0,44.1628,1661672679,87.22,4.79,0
Kologriv,RU,32,44.3178,58.8275,1661672679,82.65,6.89,6
Hong Kong,HK,77,114.1577,22.2855,1661672501,92.32,4.0,82
Lavrentiya,RU,77,-171.0,65.5833,1661672680,42.03,6.22,49
New Norfolk,AU,83,147.0587,-42.7826,1661672680,56.7,2.44,58
Tommot,RU,56,126.2925,58.9564,1661672681,66.4,3.15,92
Dzilam González,MX,97,-88.9333,21.2833,1661672681,74.61,4.16,30
Honningsvåg,NO,71,25.9704,70.9821,1661672681,53.35,8.05,100
Pandan,PH,75,124.1694,14.0453,1661672682,85.3,2.06,100
Isangel,VU,76,169.2667,-19.55,1661672682,73.33,16.62,93
Foki,RU,41,54.3499,56.693,1661672683,81.23,3.38,53
Calbuco,CL,73,-73.1273,-41.768,1661672683,31.21,8.08,2
Shenjiamen,CN,66,122.298,29.9576,1661672683,80.19,10.36,10
Yinchuan,CN,48,106.2731,38.4681,1661672684,72.16,8.08,97
Ormara,PK,77,64.6357,25.2088,1661672684,80.87,16.89,0
Pascagoula,US,97,-88.5561,30.3658,1661672637,77.05,0.0,0
Khalkhāl,IR,18,48.5258,37.6189,1661672685,76.37,3.11,0
Praia,CV,83,-23.5087,14.9215,1661672685,77.54,11.5,75
Joué-lès-Tours,FR,65,0.6691,47.3522,1661672686,67.96,10.36,0
Olenino,RU,35,33.4889,56.2092,1661672686,78.53,8.37,96
Airai,TL,80,125.4092,-8.9266,1661672686,64.35,2.8,98
Laas,IT,69,10.7002,46.6166,1661672687,64.69,0.98,34
Skerries,IE,80,-6.1083,53.5828,1661672687,61.12,9.13,100
Talnakh,RU,75,88.3972,69.4865,1661672688,40.21,11.97,100
Hasaki,JP,90,140.8333,35.7333,1661672688,72.28,21.12,100
Touros,BR,91,-35.4608,-5.1989,1661672688,71.92,12.41,10
Hirara,JP,94,125.2833,24.8,1661672689,85.86,5.75,75
Saint-Pierre,RE,58,55.4781,-21.3393,1661672689,78.48,8.05,40
Nemuro,JP,84,145.575,43.3236,1661672690,64.94,14.67,100
Alyangula,AU,77,136.4192,-13.8483,1661672690,78.06,12.66,0
Kirov,RU,40,49.6601,58.5966,1661672690,78.73,7.61,100
Eureka,US,95,-124.1637,40.8021,1661672691,60.67,4.0,83
Anju,KP,65,125.6647,39.6178,1661672691,72.36,1.45,100
Anchorage,US,94,-149.9003,61.2181,1661672409,55.72,3.44,100
Zanjān,IR,16,48.4787,36.6736,1661672692,80.29,2.3,0
Acapulco de Juárez,MX,83,-99.8901,16.8634,1661672561,80.42,4.61,40
Torbay,CA,87,-52.7314,47.6666,1661672692,57.38,10.36,40
Saint-Philippe,RE,80,55.7679,-21.3585,1661672693,78.39,11.81,13
Kenora,CA,94,-94.4337,49.8167,1661672693,70.77,11.5,40
Yulara,AU,10,130.9889,-25.2406,1661672693,79.7,16.69,3
Rawson,AR,45,-65.1023,-43.3002,1661672694,40.6,11.03,0
Hambantota,LK,55,81.1185,6.1241,1661672694,91.74,14.97,40
Olafsvik,IS,89,-23.7142,64.8945,1661672694,51.31,16.75,100
Barcelos,PT,66,-8.6151,41.5388,1661672695,65.84,2.59,11
Husavik,IS,64,-17.3389,66.0449,1661672695,50.09,3.65,100
Tongliao,CN,55,122.2653,43.6125,1661672492,71.24,14.2,100
Meulaboh,ID,72,96.1285,4.1363,1661672696,82.02,7.14,100
Ostrovnoy,RU,75,39.5131,68.0531,1661672696,61.77,12.17,97
Manokwari,ID,75,134.0833,-0.8667,1661672696,81.81,5.64,100
Mogzon,RU,32,111.9606,51.7435,1661672697,72.05,5.23,98
Edson,CA,62,-116.4356,53.5835,1661672697,51.94,9.22,20
Mossamedes,AO,75,12.1522,-15.1961,1661672698,63.21,4.76,53
Adrar,MR,19,-10.0711,20.5022,1661672698,89.65,7.05,2
Kirakira,SB,85,161.9205,-10.4544,1661672698,78.57,11.59,21
Portland,US,77,-122.6762,45.5234,1661672264,61.61,8.05,0
Padang,ID,87,100.3543,-0.9492,1661672699,82.45,3.94,97
Lodja,CD,61,23.4333,-3.4833,1661672699,83.1,3.13,14
Codrington,AU,78,141.9667,-38.2667,1661672700,56.35,9.06,100
Itoman,JP,70,127.6694,26.1247,1661672700,89.62,9.22,75
Marabá,BR,100,-49.1178,-5.3686,1661672689,71.78,0.0,0
Paso del Macho,MX,96,-96.7167,18.9667,1661672701,69.93,4.03,100
Bathsheba,BB,83,-59.5167,13.2167,1661672701,81.21,12.66,20
Safi,MA,79,-9.2372,32.2994,1661672701,68.52,10.63,0
São Félix do Xingu,BR,62,-51.995,-6.6447,1661672702,69.42,0.96,75
Guerrero Negro,MX,84,-114.0611,27.9769,1661672615,69.85,12.77,27
Camopi,GF,99,-52.3158,3.1655,1661672702,69.44,2.1,38
Asău,RO,34,26.4,46.4333,1661672704,74.32,1.23,0
Requena,ES,67,-1.1004,39.4883,1661672704,71.53,4.74,2
Cabo San Lucas,MX,74,-109.9124,22.8909,1661672705,83.61,5.01,86
Huadian,CN,73,126.7478,42.9633,1661672706,68.86,3.67,99
Sorong,ID,80,131.25,-0.8833,1661672706,80.87,3.74,100
Muros,ES,82,-9.0603,42.7762,1661672472,68.68,1.83,100
Okakarara,NA,18,17.4333,-20.5833,1661672707,74.64,2.42,0
Saint George,US,31,-113.5841,37.1041,1661672707,83.25,8.05,0
Khatanga,RU,71,102.5,71.9667,1661672707,42.39,11.34,98
Kollam,IN,78,76.6,8.8833,1661672708,79.95,11.79,61
Roebourne,AU,26,117.1333,-20.7833,1661672708,79.9,13.76,0
Sibolga,ID,82,98.7792,1.7427,1661672709,79.97,1.81,78
Kopong,BW,30,25.8833,-24.4833,1661672709,66.43,4.61,0
Haines Junction,CA,93,-137.5108,60.7522,1661672709,40.95,1.14,100
Chingirlau,KZ,20,54.0814,51.095,1661672710,89.89,5.97,67
Roald,NO,76,6.1333,62.5833,1661672710,57.76,4.61,75
Nānākuli,US,64,-158.1547,21.3906,1661672711,80.55,5.75,0
Pinega,RU,56,43.3936,64.7001,1661672711,70.77,9.53,29
Chapais,CA,90,-74.8492,49.7834,1661672712,53.38,9.04,99
Matara,LK,67,80.5353,5.9485,1661672712,84.69,16.91,69
Srīvardhan,IN,67,73.0167,18.0333,1661672712,83.55,7.43,85
Sakakah,SA,11,40.2064,29.9697,1661672713,98.17,7.52,0
Dikson,RU,76,80.5464,73.5069,1661672713,38.75,14.23,82
Whitehorse,CA,88,-135.0538,60.7161,1661672471,49.8,2.3,75
Adelanto,US,53,-117.4092,34.5828,1661672714,73.69,8.68,0
Salinas,US,83,-121.6555,36.6777,1661672458,60.08,5.75,100
Sīrjān,IR,6,55.6814,29.452,1661672714,81.84,7.52,0
Ponta do Sol,PT,62,-17.1,32.6667,1661672715,71.71,4.34,44
Bengkulu,ID,77,102.2655,-3.8004,1661672715,81.7,6.62,51
Lumeje,AO,34,20.7833,-11.55,1661672716,81.48,1.92,68
Mushie,CD,52,16.9,-3.0167,1661672716,85.66,3.2,51
Mineiros,BR,40,-52.5511,-17.5694,1661672716,68.16,1.7,1
Bartlesville,US,74,-95.9808,36.7473,1661672717,82.35,10.36,0
Gushikawa,JP,75,127.8686,26.3544,1661672717,88.83,9.22,40
Cayenne,GF,100,-52.3333,4.9333,1661672717,71.64,0.0,0
San Miguel de Tucumán,AR,31,-65.2226,-26.8241,1661672517,59.0,4.61,100
Nikolskoye,RU,38,30.7861,59.7035,1661672718,81.72,4.56,34
Ternate,ID,74,127.4,0.8,1661672718,83.12,3.47,97
Nome,US,76,-165.4064,64.5011,1661672719,51.87,5.75,100
Turukhansk,RU,42,87.9833,65.8167,1661672719,45.77,13.09,99
Ipojuca,BR,89,-35.0639,-8.3989,1661672424,75.11,6.58,30
Teahupoo,PF,74,-149.2667,-17.8333,1661672720,67.96,2.08,40
Lagoa,PT,75,-27.9833,39.05,1661672720,72.18,17.09,75
Aksarka,RU,84,67.7975,66.5606,1661672720,49.39,4.5,100
Nanortalik,GL,97,-45.2371,60.1432,1661672721,40.55,1.92,100
Baillif,GP,80,-61.7463,16.0202,1661672721,74.7,9.73,9
Takoradze,GH,85,-1.7554,4.8845,1661672722,75.4,8.75,100
Fortuna,US,97,-124.1573,40.5982,1661672722,55.74,4.61,75
Sitka,US,88,-135.33,57.0531,1661672722,57.09,0.0,100
Birūr,IN,60,75.9667,13.6167,1661672723,80.26,7.99,100
Katangli,RU,94,143.2326,51.7102,1661672723,56.19,6.44,79
Morant Bay,JM,83,-76.4093,17.8815,1661672724,80.22,5.82,81
Pangnirtung,CA,78,-65.7125,66.1451,1661672724,40.06,7.34,75
Flinders,AU,78,150.8552,-34.5833,1661672724,62.38,9.82,23
Goderich,CA,63,-81.7165,43.7501,1661672725,61.12,9.22,100
Wilmington,US,91,-77.9447,34.2257,1661672718,74.86,0.0,0
Coahuayana Viejo,MX,93,-103.6833,18.7333,1661672725,75.04,3.53,39
Patiya,BD,58,91.9762,22.2931,1661672726,91.35,11.5,75
Henties Bay,NA,79,14.2845,-22.116,1661672726,55.0,7.31,58
Miyako,JP,91,141.9525,39.6367,1661672727,67.82,5.93,100
Simao,CN,86,100.9748,22.7886,1661672727,74.84,3.74,96
Gigmoto,PH,74,124.39,13.7796,1661672727,85.35,5.12,97
Mehamn,NO,71,27.8492,71.0357,1661672728,57.11,10.36,30
Tiksi,RU,60,128.8694,71.6872,1661672728,50.77,8.99,100
Koyima,SL,100,-11.0333,8.7,1661672729,69.85,2.66,100
